# code|name|province|latitude|longitude|official_name|content_status
1101|北京|北京市|39.9050|116.4053|北京市|curated
1201|天津|天津市|39.1256|117.1902|天津市|lookup
1301|石家庄|河北省|38.0455|114.5025|石家庄市|lookup
1302|唐山|河北省|39.6351|118.1754|唐山市|lookup
1303|秦皇岛|河北省|39.8882|119.5202|秦皇岛市|lookup
1304|邯郸|河北省|36.6123|114.4907|邯郸市|lookup
1305|邢台|河北省|37.0602|114.4974|邢台市|lookup
1306|保定|河北省|38.8677|115.4823|保定市|lookup
1307|张家口|河北省|40.8119|114.8841|张家口市|lookup
1308|承德|河北省|40.9762|117.9392|承德市|lookup
1309|沧州|河北省|38.3106|116.8575|沧州市|lookup
1310|廊坊|河北省|39.5239|116.7044|廊坊市|lookup
1311|衡水|河北省|37.7351|115.6660|衡水市|lookup
1401|太原|山西省|37.8570|112.5492|太原市|lookup
1402|大同|山西省|40.0971|113.3668|大同市|lookup
1403|阳泉|山西省|37.8612|113.5833|阳泉市|lookup
1404|长治|山西省|36.1911|113.1136|长治市|lookup
1405|晋城|山西省|35.4976|112.8513|晋城市|lookup
1406|朔州|山西省|39.3313|112.4334|朔州市|lookup
1407|晋中|山西省|37.6965|112.7365|晋中市|lookup
1408|运城|山西省|35.0228|111.0040|运城市|lookup
1409|忻州|山西省|38.4177|112.7335|忻州市|lookup
1410|临汾|山西省|36.0841|111.5180|临汾市|lookup
1411|吕梁|山西省|37.5244|111.1343|吕梁市|lookup
1501|呼和浩特|内蒙古自治区|40.8421|111.7488|呼和浩特市|lookup
1502|包头|内蒙古自治区|40.6213|109.9532|包头市|lookup
1503|乌海|内蒙古自治区|39.6737|106.8256|乌海市|lookup
1504|赤峰|内蒙古自治区|42.2569|118.8876|赤峰市|lookup
1505|通辽|内蒙古自治区|43.6174|122.2631|通辽市|lookup
1506|鄂尔多斯|内蒙古自治区|39.6087|109.7825|鄂尔多斯市|lookup
1507|呼伦贝尔|内蒙古自治区|49.1665|119.7785|呼伦贝尔市|lookup
1508|巴彦淖尔|内蒙古自治区|40.7574|107.4170|巴彦淖尔市|lookup
1509|乌兰察布|内蒙古自治区|41.0341|113.1145|乌兰察布市|lookup
1522|兴安盟|内蒙古自治区|46.0763|122.0703|兴安盟|lookup
1525|锡林郭勒盟|内蒙古自治区|43.9440|116.0910|锡林郭勒盟|lookup
1529|阿拉善盟|内蒙古自治区|38.8448|105.7064|阿拉善盟|lookup
2101|沈阳|辽宁省|41.6776|123.4647|沈阳市|lookup
2102|大连|辽宁省|38.9146|121.6186|大连市|lookup
2103|鞍山|辽宁省|41.1106|122.9956|鞍山市|lookup
2104|抚顺|辽宁省|41.8813|123.9571|抚顺市|lookup
2105|本溪|辽宁省|41.4868|123.6850|本溪市|lookup
2106|丹东|辽宁省|40.0007|124.3544|丹东市|lookup
2107|锦州|辽宁省|41.1193|121.1357|锦州市|lookup
2108|营口|辽宁省|40.6674|122.2352|营口市|lookup
2109|阜新|辽宁省|42.0220|121.6701|阜新市|lookup
2110|辽阳|辽宁省|41.2694|123.1815|辽阳市|lookup
2111|盘锦|辽宁省|40.7196|122.1707|盘锦市|lookup
2112|铁岭|辽宁省|42.2233|123.7257|铁岭市|lookup
2113|朝阳|辽宁省|41.5768|120.4512|朝阳市|lookup
2114|葫芦岛|辽宁省|40.7110|120.8368|葫芦岛市|lookup
2201|长春|吉林省|43.8170|125.3236|长春市|lookup
2202|吉林|吉林省|43.8436|126.5530|吉林市|lookup
2203|四平|吉林省|43.1703|124.3708|四平市|lookup
2204|辽源|吉林省|42.9027|125.1453|辽源市|lookup
2205|通化|吉林省|41.7212|125.9365|通化市|lookup
2206|白山|吉林省|41.9425|126.4278|白山市|lookup
2207|松原|吉林省|45.1182|124.8236|松原市|lookup
2208|白城|吉林省|45.6190|122.8411|白城市|lookup
2224|延边朝鲜族自治州|吉林省|42.9048|129.5132|延边朝鲜族自治州|lookup
2301|哈尔滨|黑龙江省|45.8030|126.5351|哈尔滨市|lookup
2302|齐齐哈尔|黑龙江省|47.3421|123.9579|齐齐哈尔市|lookup
2303|鸡西|黑龙江省|45.3000|130.9760|鸡西市|lookup
2304|鹤岗|黑龙江省|47.3321|130.2775|鹤岗市|lookup
